id,title,description,link,availability
SKU-001,Streaming Record 001,Batch record 001,https://example.com/stream/001,in_stock
SKU-002,Streaming Record 002,Batch record 002,https://example.com/stream/002,out_of_stock
SKU-003,Streaming Record 003,Batch record 003,https://example.com/stream/003,in_stock
SKU-004,Streaming Record 004,Batch record 004,https://example.com/stream/004,out_of_stock
SKU-005,Streaming Record 005,Batch record 005,https://example.com/stream/005,in_stock
SKU-006,Streaming Record 006,Batch record 006,https://example.com/stream/006,out_of_stock
SKU-007,Streaming Record 007,Batch record 007,https://example.com/stream/007,in_stock
SKU-008,Streaming Record 008,Batch record 008,https://example.com/stream/008,out_of_stock
SKU-009,Streaming Record 009,Batch record 009,https://example.com/stream/009,in_stock
SKU-010,Streaming Record 010,Batch record 010,https://example.com/stream/010,out_of_stock
SKU-011,Streaming Record 011,Batch record 011,https://example.com/stream/011,in_stock
SKU-012,Streaming Record 012,Batch record 012,https://example.com/stream/012,out_of_stock
SKU-013,Streaming Record 013,Batch record 013,https://example.com/stream/013,in_stock
SKU-014,Streaming Record 014,Batch record 014,https://example.com/stream/014,out_of_stock
SKU-015,Streaming Record 015,Batch record 015,https://example.com/stream/015,in_stock
SKU-016,Streaming Record 016,Batch record 016,https://example.com/stream/016,out_of_stock
SKU-017,Streaming Record 017,Batch record 017,https://example.com/stream/017,in_stock
SKU-018,Streaming Record 018,Batch record 018,https://example.com/stream/018,out_of_stock
SKU-019,Streaming Record 019,Batch record 019,https://example.com/stream/019,in_stock
SKU-020,Streaming Record 020,Batch record 020,https://example.com/stream/020,out_of_stock
SKU-021,Streaming Record 021,Batch record 021,https://example.com/stream/021,in_stock
SKU-022,Streaming Record 022,Batch record 022,https://example.com/stream/022,out_of_stock
SKU-023,Streaming Record 023,Batch record 023,https://example.com/stream/023,in_stock
SKU-024,Streaming Record 024,Batch record 024,https://example.com/stream/024,out_of_stock
SKU-025,Streaming Record 025,Batch record 025,https://example.com/stream/025,in_stock
SKU-026,Streaming Record 026,Batch record 026,https://example.com/stream/026,out_of_stock
SKU-027,Streaming Record 027,Batch record 027,https://example.com/stream/027,in_stock
SKU-028,Streaming Record 028,Batch record 028,https://example.com/stream/028,out_of_stock
SKU-029,Streaming Record 029,Batch record 029,https://example.com/stream/029,in_stock
SKU-030,Streaming Record 030,Batch record 030,https://example.com/stream/030,out_of_stock
SKU-031,Streaming Record 031,Batch record 031,https://example.com/stream/031,in_stock
SKU-032,Streaming Record 032,Batch record 032,https://example.com/stream/032,out_of_stock
SKU-033,Streaming Record 033,Batch record 033,https://example.com/stream/033,in_stock
SKU-034,Streaming Record 034,Batch record 034,https://example.com/stream/034,out_of_stock
SKU-035,Streaming Record 035,Batch record 035,https://example.com/stream/035,in_stock
SKU-036,Streaming Record 036,Batch record 036,https://example.com/stream/036,out_of_stock
SKU-037,Streaming Record 037,Batch record 037,https://example.com/stream/037,in_stock
SKU-038,Streaming Record 038,Batch record 038,https://example.com/stream/038,out_of_stock
SKU-039,Streaming Record 039,Batch record 039,https://example.com/stream/039,in_stock
SKU-040,Streaming Record 040,Batch record 040,https://example.com/stream/040,out_of_stock
SKU-041,Streaming Record 041,Batch record 041,https://example.com/stream/041,in_stock
SKU-042,Streaming Record 042,Batch record 042,https://example.com/stream/042,out_of_stock
SKU-043,Streaming Record 043,Batch record 043,https://example.com/stream/043,in_stock
SKU-044,Streaming Record 044,Batch record 044,https://example.com/stream/044,out_of_stock
SKU-045,Streaming Record 045,Batch record 045,https://example.com/stream/045,in_stock
SKU-046,Streaming Record 046,Batch record 046,https://example.com/stream/046,out_of_stock
SKU-047,Streaming Record 047,Batch record 047,https://example.com/stream/047,in_stock
SKU-048,Streaming Record 048,Batch record 048,https://example.com/stream/048,out_of_stock
SKU-049,Streaming Record 049,Batch record 049,https://example.com/stream/049,in_stock
SKU-050,Streaming Record 050,Batch record 050,https://example.com/stream/050,out_of_stock
